Group	LINC00467 expression	Probe ID
T	-1.1371081	A_23_P1014
T	0.509073	A_23_P1014
T	0.060970068	A_23_P1014
T	0.3254168	A_23_P1014
T	-1.1459119	A_23_P1014
T	1.6890237	A_23_P1014
T	-1.094372	A_23_P1014
T	0.2686689	A_23_P1014
T	1.075114	A_23_P1014
T	0.7403438	A_23_P1014
T	-0.6144402	A_23_P1014
T	-0.1966803	A_23_P1014
T	1.6643384	A_23_P1014
T	-0.060970068	A_23_P1014
T	0.4673636	A_23_P1014
T	0.58615613	A_23_P1014
T	0.6576841	A_23_P1014
T	1.079664	A_23_P1014
T	0.77725863	A_23_P1014
T	0.3133242	A_23_P1014
T	-1.2153656	A_23_P1014
T	-0.7970121	A_23_P1014
T	-0.27513194	A_23_P1014
T	1.6293066	A_23_P1014
T	0.69620585	A_23_P1014
N	-0.8106768	A_23_P1014
N	-1.0297654	A_23_P1014
N	-1.1527379	A_23_P1014
N	-0.93065953	A_23_P1014
N	-0.8230574	A_23_P1014
N	-0.85738254	A_23_P1014
N	-0.840338	A_23_P1014
T	-0.9146445	A_19_P00318494
T	0.28473926	A_19_P00318494
T	-0.07563424	A_19_P00318494
T	0.4470799	A_19_P00318494
T	-1.2439458	A_19_P00318494
T	1.5826099	A_19_P00318494
T	-0.8345492	A_19_P00318494
T	0.111940145	A_19_P00318494
T	0.96581054	A_19_P00318494
T	0.8288667	A_19_P00318494
T	-0.47399354	A_19_P00318494
T	-0.32081056	A_19_P00318494
T	1.7054446	A_19_P00318494
T	0.07563424	A_19_P00318494
T	0.4475081	A_19_P00318494
T	0.72494626	A_19_P00318494
T	0.7269323	A_19_P00318494
T	1.175617	A_19_P00318494
T	0.67030215	A_19_P00318494
T	0.14865708	A_19_P00318494
T	-1.371958	A_19_P00318494
T	-0.77523685	A_19_P00318494
T	-0.28990912	A_19_P00318494
T	1.4524515	A_19_P00318494
T	0.70557094	A_19_P00318494
N	-0.7796786	A_19_P00318494
N	-1.0041153	A_19_P00318494
N	-1.1366818	A_19_P00318494
N	-0.91443276	A_19_P00318494
N	-0.6542299	A_19_P00318494
N	-0.655874	A_19_P00318494
N	-0.8366535	A_19_P00318494
T	-1.0185568	A_33_P3223097
T	0.2786224	A_33_P3223097
T	-0.28420472	A_33_P3223097
T	1.0484307	A_33_P3223097
T	-1.2714536	A_33_P3223097
T	1.2501743	A_33_P3223097
T	-0.59744287	A_33_P3223097
T	0.07628894	A_33_P3223097
T	0.45133662	A_33_P3223097
T	0.6523092	A_33_P3223097
T	-0.78868985	A_33_P3223097
T	-0.2576573	A_33_P3223097
T	1.48753	A_33_P3223097
T	0.52228856	A_33_P3223097
T	0.66783834	A_33_P3223097
T	0.776314	A_33_P3223097
T	0.93149257	A_33_P3223097
T	0.6800573	A_33_P3223097
T	1.098501	A_33_P3223097
T	0.5266392	A_33_P3223097
T	-1.0164349	A_33_P3223097
T	-0.63384604	A_33_P3223097
T	-0.07628894	A_33_P3223097
T	1.3977344	A_33_P3223097
T	0.6957052	A_33_P3223097
N	-0.45820737	A_33_P3223097
N	-1.1318476	A_33_P3223097
N	-0.761945	A_33_P3223097
N	-0.8742745	A_33_P3223097
N	-0.69933486	A_33_P3223097
N	-0.7144625	A_33_P3223097
N	-0.32430577	A_33_P3223097
T	-1.2379682	A_19_P00318495
T	0.52458787	A_19_P00318495
T	0.044576883	A_19_P00318495
T	0.100070715	A_19_P00318495
T	-1.0298402	A_19_P00318495
T	1.6528742	A_19_P00318495
T	-1.1897733	A_19_P00318495
T	0.2015717	A_19_P00318495
T	1.0776923	A_19_P00318495
T	0.70547414	A_19_P00318495
T	-0.90124106	A_19_P00318495
T	-0.38290286	A_19_P00318495
T	1.6984146	A_19_P00318495
T	-0.044576883	A_19_P00318495
T	0.3704517	A_19_P00318495
T	0.5429733	A_19_P00318495
T	0.65278745	A_19_P00318495
T	0.83223844	A_19_P00318495
T	0.58520913	A_19_P00318495
T	0.26891208	A_19_P00318495
T	-1.2733781	A_19_P00318495
T	-0.9645121	A_19_P00318495
T	-0.4012282	A_19_P00318495
T	1.5914652	A_19_P00318495
T	0.5775225	A_19_P00318495
N	-0.92167544	A_19_P00318495
N	-1.2235172	A_19_P00318495
N	-1.4395559	A_19_P00318495
N	-1.1266639	A_19_P00318495
N	-0.81043124	A_19_P00318495
N	-0.93294597	A_19_P00318495
N	-0.99518704	A_19_P00318495
