Cancer	IncRNA ID	IncRNA Symbol	ID	pvalue	P Adjust	ES	Score	GeneCount
BRCA	ENSG00000153363	LINC00467	TCR signaling Pathway	0.007407	0.125926	-0.502976	-0.985185	17
BRCA	ENSG00000153363	LINC00467	Natural Killer Cell Cytotoxicity	0.015957	0.135638	-0.439897	-0.968085	30
BRCA	ENSG00000153363	LINC00467	BCR Signaling Pathway	0.10396	0.368868	-0.402324	-0.792079	23
BRCA	ENSG00000153363	LINC00467	Chemokine Receptors	0.108491	0.368868	-0.452232	-0.783019	13
BRCA	ENSG00000153363	LINC00467	Interleukins Receptor	0.071759	0.368868	-0.485837	-0.856482	19
BRCA	ENSG00000153363	LINC00467	Cytokine Receptors	0.205298	0.48501	-0.291611	-0.589404	69
BRCA	ENSG00000153363	LINC00467	Interferon Receptor	0.22824	0.48501	-0.804712	-0.54352	1
BRCA	ENSG00000153363	LINC00467	TNF Family Members	0.222008	0.48501	0.595177	0.555985	3
BRCA	ENSG00000153363	LINC00467	Antigen Processing and Presentation	0.471429	0.890476	0.316219	0.057143	31
BRCA	ENSG00000153363	LINC00467	Interleukins	0.697842	0.988609	0.336506	-0.395684	5
BRCA	ENSG00000153363	LINC00467	TGFb Family Member Receptor	0.603306	0.988609	-0.424764	0.206612	5
BRCA	ENSG00000153363	LINC00467	TNF Family Members Receptors	0.655098	0.988609	-0.370332	0.310195	5
BRCA	ENSG00000153363	LINC00467	Antimicrobials	0.980315	1	-0.221568	0.96063	79
BRCA	ENSG00000153363	LINC00467	Chemokines	1	1	-0.210751	1	27
BRCA	ENSG00000153363	LINC00467	Cytokines	1	1	0.197618	-1	23
BRCA	ENSG00000153363	LINC00467	Interferons	0.93279	1	-0.537555	0.86558	1
BRCA	ENSG00000153363	LINC00467	TGFb Family Member	0.906459	1	-0.277492	0.812918	15
