Group	LINC00467 Methylation
N	0.2274
N	0.2252
N	0.2227
N	0.2206
N	0.2184
N	0.2183
N	0.2167
N	0.1973
N	0.1898
N	0.1839
N	0.1735
N	0.1732
N	0.1722
N	0.1693
N	0.1688
N	0.1642
N	0.1531
N	0.1525
N	0.1522
N	0.1513
N	0.1513
N	0.1498
N	0.1494
N	0.1477
N	0.1475
N	0.1434
N	0.1433
N	0.1429
N	0.1427
N	0.1423
N	0.1422
N	0.1409
N	0.1401
N	0.1393
N	0.139
N	0.1384
N	0.1378
N	0.1373
N	0.1372
N	0.1364
N	0.1359
N	0.1358
N	0.1355
N	0.1352
N	0.1327
N	0.1327
N	0.1323
N	0.1316
N	0.1315
N	0.1313
N	0.1307
N	0.1302
N	0.13
N	0.1293
N	0.129
N	0.1283
N	0.1275
N	0.1275
N	0.1264
N	0.1261
N	0.1257
N	0.1257
N	0.1249
N	0.1248
N	0.1244
N	0.1244
N	0.1241
N	0.1241
N	0.124
N	0.1233
N	0.1233
N	0.1227
N	0.1224
N	0.1222
N	0.1221
N	0.122
N	0.1184
N	0.1113
N	0.1109
N	0.1107
N	0.1069
T	0.3845
T	0.2325
T	0.2182
T	0.218
T	0.2169
T	0.2151
T	0.2141
T	0.2138
T	0.2126
T	0.2121
T	0.2108
T	0.2101
T	0.2088
T	0.2073
T	0.2069
T	0.2061
T	0.2058
T	0.2049
T	0.2047
T	0.2004
T	0.1973
T	0.1972
T	0.1964
T	0.1962
T	0.1957
T	0.1954
T	0.1952
T	0.1949
T	0.1946
T	0.1939
T	0.1937
T	0.1934
T	0.1929
T	0.1927
T	0.1927
T	0.1925
T	0.1907
T	0.1906
T	0.19
T	0.1892
T	0.1891
T	0.1886
T	0.1874
T	0.1869
T	0.1868
T	0.1868
T	0.186
T	0.1848
T	0.1845
T	0.184
T	0.184
T	0.1828
T	0.1824
T	0.1822
T	0.1821
T	0.1815
T	0.1815
T	0.1813
T	0.1808
T	0.1794
T	0.1791
T	0.1787
T	0.1787
T	0.1787
T	0.1787
T	0.1786
T	0.1779
T	0.1778
T	0.1777
T	0.1775
T	0.1773
T	0.1768
T	0.1764
T	0.1758
T	0.1755
T	0.1754
T	0.175
T	0.1733
T	0.1729
T	0.1728
T	0.1725
T	0.1716
T	0.1715
T	0.171
T	0.1707
T	0.1701
T	0.1701
T	0.17
T	0.17
T	0.1692
T	0.169
T	0.169
T	0.1684
T	0.1684
T	0.1683
T	0.1683
T	0.1678
T	0.1677
T	0.1677
T	0.1677
T	0.1674
T	0.167
T	0.1666
T	0.1666
T	0.1665
T	0.1662
T	0.1661
T	0.1661
T	0.1657
T	0.1655
T	0.1654
T	0.1652
T	0.1648
T	0.1647
T	0.1645
T	0.1645
T	0.1644
T	0.1644
T	0.1643
T	0.164
T	0.164
T	0.1637
T	0.1637
T	0.1632
T	0.1631
T	0.163
T	0.1625
T	0.1624
T	0.1624
T	0.1622
T	0.1619
T	0.1615
T	0.1615
T	0.1609
T	0.1604
T	0.1604
T	0.1601
T	0.16
T	0.16
T	0.1596
T	0.1595
T	0.1594
T	0.1594
T	0.1592
T	0.159
T	0.1586
T	0.1584
T	0.1581
T	0.1576
T	0.1576
T	0.1575
T	0.1574
T	0.1572
T	0.1571
T	0.157
T	0.157
T	0.157
T	0.157
T	0.1566
T	0.1565
T	0.1561
T	0.156
T	0.1559
T	0.1558
T	0.1557
T	0.1554
T	0.1554
T	0.1553
T	0.1552
T	0.1549
T	0.1549
T	0.1548
T	0.1548
T	0.1546
T	0.1544
T	0.1544
T	0.1539
T	0.1539
T	0.1537
T	0.1536
T	0.1533
T	0.1531
T	0.1526
T	0.1524
T	0.1524
T	0.152
T	0.1519
T	0.1518
T	0.1517
T	0.1517
T	0.1513
T	0.1513
T	0.1511
T	0.1504
T	0.1504
T	0.1503
T	0.1503
T	0.1502
T	0.1499
T	0.1499
T	0.1498
T	0.1494
T	0.1493
T	0.149
T	0.1488
T	0.1486
T	0.1486
T	0.1485
T	0.1482
T	0.1481
T	0.1481
T	0.1477
T	0.1471
T	0.147
T	0.1469
T	0.1467
T	0.1467
T	0.1462
T	0.1462
T	0.1462
T	0.1462
T	0.1461
T	0.1459
T	0.1458
T	0.1458
T	0.1455
T	0.1455
T	0.1454
T	0.1452
T	0.1452
T	0.1451
T	0.1448
T	0.1447
T	0.1446
T	0.1444
T	0.1442
T	0.1442
T	0.1442
T	0.144
T	0.1438
T	0.1438
T	0.1437
T	0.1434
T	0.1432
T	0.143
T	0.1429
T	0.1429
T	0.1428
T	0.1427
T	0.1425
T	0.1423
T	0.1422
T	0.1421
T	0.1418
T	0.1418
T	0.1417
T	0.1417
T	0.1416
T	0.1416
T	0.1415
T	0.1415
T	0.1414
T	0.1414
T	0.1412
T	0.1408
T	0.1408
T	0.1407
T	0.1406
T	0.1406
T	0.1406
T	0.1405
T	0.1403
T	0.1403
T	0.14
T	0.1398
T	0.1397
T	0.1396
T	0.1395
T	0.1395
T	0.1394
T	0.1394
T	0.1394
T	0.1392
T	0.1391
T	0.1391
T	0.1389
T	0.1387
T	0.1386
T	0.1386
T	0.1382
T	0.1379
T	0.1378
T	0.1376
T	0.1376
T	0.1376
T	0.1374
T	0.1371
T	0.1371
T	0.1369
T	0.1368
T	0.1368
T	0.1366
T	0.1365
T	0.1365
T	0.1365
T	0.1365
T	0.1364
T	0.1364
T	0.1363
T	0.136
T	0.1359
T	0.1357
T	0.1356
T	0.1354
T	0.1353
T	0.1353
T	0.1352
T	0.1348
T	0.1347
T	0.1347
T	0.1347
T	0.1346
T	0.1344
T	0.1343
T	0.1342
T	0.1342
T	0.1342
T	0.134
T	0.1339
T	0.1337
T	0.1337
T	0.1334
T	0.1333
T	0.1332
T	0.1332
T	0.1331
T	0.133
T	0.1328
T	0.1327
T	0.1327
T	0.1327
T	0.1326
T	0.1326
T	0.1323
T	0.1323
T	0.1323
T	0.1322
T	0.1322
T	0.132
T	0.132
T	0.132
T	0.132
T	0.1319
T	0.1319
T	0.1317
T	0.1316
T	0.1316
T	0.1316
T	0.1315
T	0.1315
T	0.1314
T	0.1314
T	0.1314
T	0.1313
T	0.1312
T	0.1311
T	0.1311
T	0.1311
T	0.131
T	0.1308
T	0.1306
T	0.1306
T	0.1306
T	0.1305
T	0.1305
T	0.1304
T	0.1303
T	0.1301
T	0.13
T	0.13
T	0.1299
T	0.1298
T	0.1295
T	0.1295
T	0.1295
T	0.1294
T	0.1291
T	0.1291
T	0.1291
T	0.1291
T	0.129
T	0.129
T	0.1289
T	0.1287
T	0.1286
T	0.1286
T	0.1286
T	0.1285
T	0.1285
T	0.1285
T	0.1285
T	0.1283
T	0.1283
T	0.1282
T	0.128
T	0.128
T	0.128
T	0.128
T	0.1276
T	0.1276
T	0.1276
T	0.1274
T	0.1274
T	0.1274
T	0.1274
T	0.1274
T	0.1271
T	0.1271
T	0.1271
T	0.127
T	0.1269
T	0.1269
T	0.1268
T	0.1268
T	0.1266
T	0.1266
T	0.1266
T	0.1266
T	0.1265
T	0.1265
T	0.1265
T	0.1263
T	0.1262
T	0.1262
T	0.1261
T	0.1261
T	0.1259
T	0.1257
T	0.1257
T	0.1256
T	0.1255
T	0.1254
T	0.1253
T	0.125
T	0.1249
T	0.1249
T	0.1249
T	0.1248
T	0.1248
T	0.1247
T	0.1247
T	0.1246
T	0.1246
T	0.1246
T	0.1245
T	0.1243
T	0.1243
T	0.1243
T	0.1241
T	0.124
T	0.124
T	0.124
T	0.124
T	0.1238
T	0.1237
T	0.1237
T	0.1237
T	0.1237
T	0.1236
T	0.1235
T	0.1235
T	0.1234
T	0.1233
T	0.1233
T	0.1232
T	0.1232
T	0.1231
T	0.123
T	0.123
T	0.1229
T	0.1229
T	0.1227
T	0.1225
T	0.1225
T	0.1225
T	0.1225
T	0.1224
T	0.1223
T	0.1223
T	0.122
T	0.122
T	0.122
T	0.122
T	0.1219
T	0.1219
T	0.1216
T	0.1215
T	0.1214
T	0.1214
T	0.1213
T	0.1213
T	0.1212
T	0.1212
T	0.1211
T	0.1211
T	0.1211
T	0.121
T	0.1209
T	0.1208
T	0.1207
T	0.1206
T	0.1205
T	0.1204
T	0.1204
T	0.1203
T	0.1203
T	0.1202
T	0.1202
T	0.12
T	0.12
T	0.1199
T	0.1198
T	0.1198
T	0.1197
T	0.1197
T	0.1197
T	0.1197
T	0.1196
T	0.1196
T	0.1196
T	0.1195
T	0.1194
T	0.1194
T	0.1192
T	0.1192
T	0.1192
T	0.1191
T	0.119
T	0.119
T	0.119
T	0.119
T	0.119
T	0.119
T	0.1189
T	0.1189
T	0.1188
T	0.1187
T	0.1187
T	0.1185
T	0.1185
T	0.1183
T	0.1183
T	0.1183
T	0.1181
T	0.1181
T	0.118
T	0.1179
T	0.1179
T	0.1178
T	0.1178
T	0.1178
T	0.1178
T	0.1178
T	0.1177
T	0.1176
T	0.1176
T	0.1176
T	0.1174
T	0.1173
T	0.1173
T	0.1173
T	0.1172
T	0.117
T	0.1169
T	0.1168
T	0.1168
T	0.1167
T	0.1167
T	0.1167
T	0.1166
T	0.1165
T	0.1164
T	0.1164
T	0.1161
T	0.116
T	0.1159
T	0.1159
T	0.1158
T	0.1158
T	0.1155
T	0.1155
T	0.1154
T	0.1153
T	0.1153
T	0.1153
T	0.1152
T	0.1151
T	0.1148
T	0.1148
T	0.1146
T	0.1146
T	0.1144
T	0.1144
T	0.1144
T	0.1143
T	0.1143
T	0.1142
T	0.1141
T	0.1141
T	0.1138
T	0.1138
T	0.1137
T	0.1136
T	0.1135
T	0.1135
T	0.1135
T	0.1135
T	0.1134
T	0.1134
T	0.1134
T	0.1134
T	0.1133
T	0.1133
T	0.1132
T	0.1132
T	0.1132
T	0.1131
T	0.1129
T	0.1128
T	0.1126
T	0.1126
T	0.1126
T	0.1125
T	0.1125
T	0.1125
T	0.1125
T	0.1124
T	0.1122
T	0.1121
T	0.112
T	0.112
T	0.1119
T	0.1119
T	0.1117
T	0.1117
T	0.1117
T	0.1117
T	0.1116
T	0.1115
T	0.1112
T	0.1111
T	0.111
T	0.111
T	0.111
T	0.1109
T	0.1109
T	0.1107
T	0.1107
T	0.1106
T	0.1104
T	0.1103
T	0.1101
T	0.1101
T	0.1101
T	0.11
T	0.11
T	0.1098
T	0.1098
T	0.1096
T	0.1095
T	0.1092
T	0.109
T	0.1089
T	0.1089
T	0.1088
T	0.1088
T	0.1087
T	0.1085
T	0.1085
T	0.1085
T	0.1084
T	0.1084
T	0.1082
T	0.1082
T	0.1081
T	0.108
T	0.1078
T	0.1077
T	0.1076
T	0.1075
T	0.1075
T	0.1075
T	0.1073
T	0.1073
T	0.1068
T	0.1067
T	0.1067
T	0.1066
T	0.1066
T	0.1065
T	0.1064
T	0.1062
T	0.1061
T	0.1061
T	0.1061
T	0.1061
T	0.106
T	0.106
T	0.1058
T	0.1057
T	0.1057
T	0.1055
T	0.1047
T	0.1047
T	0.1047
T	0.1047
T	0.1044
T	0.1044
T	0.1041
T	0.1039
T	0.1038
T	0.1038
T	0.1036
T	0.1035
T	0.1035
T	0.103
T	0.1027
T	0.1026
T	0.1025
T	0.1025
T	0.1025
T	0.1024
T	0.1022
T	0.1022
T	0.1022
T	0.1021
T	0.102
T	0.1019
T	0.1018
T	0.1016
T	0.1015
T	0.1014
T	0.1014
T	0.1011
T	0.1011
T	0.101
T	0.1006
T	0.1002
T	0.1001
T	0.09987
T	0.09971
T	0.09959
T	0.09937
T	0.09928
T	0.09771
T	0.09749
T	0.09744
T	0.09682
T	0.09678
T	0.09671
T	0.0964
T	0.096
T	0.0936
T	0.0934
T	0.09262
T	0.09224
T	0.09156
T	0.09067
T	0.08849
T	0.0874
T	0.08735
T	0.08522
T	0.08365
T	0.08001
T	0.1931
T	0.1759
T	0.1387
T	0.1199
T	0.1072
