ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_24_P236251	3.08E-08	3.08E-10	-6.6504421	12.96248	-5.668128	DLK1	delta like non-canonical Notch ligand 1
A_24_P844984	0.00000123	2.67E-08	-5.8067398	8.678069	-5.5838581	PIGR	polymeric immunoglobulin receptor
A_24_P397817	3.72E-11	1.17E-13	-8.0095805	20.567012	-5.4897185	LEP	leptin
A_23_P4096	1.95E-16	8.09E-20	-10.2321579	34.304005	-5.4397584	CA4	carbonic anhydrase 4
A_23_P149517	7.15E-10	3.69E-12	-7.4299482	17.230349	-5.428776	PIGR	polymeric immunoglobulin receptor
A_23_P9711	1.63E-13	1.83E-16	-9.04678	26.820507	-5.4135658	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4
A_23_P56433	5.08E-10	2.35E-12	-7.5068525	17.665593	-5.207512	C2orf40	chromosome 2 open reading frame 40
A_32_P216520	0.00000024	3.79E-09	-6.1847527	10.550781	-5.197309	WIF1	WNT inhibitory factor 1
A_23_P26154	8.83E-10	4.89E-12	-7.3817151	16.958597	-5.11499	PLIN1	perilipin 1
A_23_P125588	6.96E-13	1.02E-15	-8.7760881	25.157704	-4.7685696	TNMD	tenomodulin
A_23_P126248	6.94E-12	1.46E-14	-8.3490165	22.576947	-4.7506528	RNF186	ring finger protein 186
A_23_P128362	0.0000872	0.00000471	-4.7144751	3.74965	-4.6585143	MYBPC1	myosin binding protein C, slow type
A_23_P27846	3.54E-10	1.56E-12	-7.5761969	18.060079	-4.655447	PLIN4	perilipin 4
A_24_P305050	1.27E-13	1.4E-16	-9.089076	27.082076	-4.631936	CD300LG	CD300 molecule like family member g
A_23_P114862	7.71E-14	6.77E-17	-9.2020768	27.783122	-4.5894553	ANGPTL7	angiopoietin like 7
A_23_P75283	9.55E-11	3.4E-13	-7.8324538	19.534004	-4.5719217	RBP4	retinol binding protein 4
A_23_P45185	4.7E-14	3.67E-17	-9.29731	28.376381	-4.4541209	FIGF	c-fos induced growth factor
A_23_P30217	0.0000263	0.00000109	-5.0392055	5.134883	-4.4507063	SCGB3A1	secretoglobin family 3A member 1
