sample	LINC00467
TCGA-OL-A5RX-01A	0.3845
TCGA-BH-A209-01A	0.2325
TCGA-E9-A1RC-11A	0.2274
TCGA-BH-A204-11A	0.2252
TCGA-BH-A209-11A	0.2227
TCGA-E2-A1LS-11A	0.2206
TCGA-E9-A1RB-11A	0.2184
TCGA-E9-A1RF-11A	0.2183
TCGA-OL-A66I-01A	0.2182
TCGA-AR-A2LH-01A	0.218
TCGA-E9-A22A-01A	0.2169
TCGA-AC-A23H-11A	0.2167
TCGA-E9-A1N3-01A	0.2151
TCGA-BH-A0BZ-01A	0.2141
TCGA-C8-A26Y-01A	0.2138
TCGA-AR-A0U0-01A	0.2126
TCGA-E9-A22D-01A	0.2121
TCGA-A2-A0T1-01A	0.2108
TCGA-E9-A5FK-01A	0.2101
TCGA-GM-A2DO-01A	0.2088
TCGA-D8-A27G-01A	0.2073
TCGA-E9-A2JT-01A	0.2069
TCGA-EW-A6SB-01A	0.2061
TCGA-B6-A0RT-01A	0.2058
TCGA-UU-A93S-01A	0.2049
TCGA-E9-A1RF-01A	0.2047
TCGA-A2-A0EN-01A	0.2004
TCGA-AO-A03U-01B	0.198
TCGA-A2-A3KD-01A	0.1973
TCGA-E9-A1N8-11A	0.1973
TCGA-AO-A0JC-01A	0.1972
TCGA-B6-A0IK-01A	0.1964
TCGA-GI-A2C8-01A	0.1962
TCGA-E2-A1B6-01A	0.1957
TCGA-A2-A1FV-01A	0.1954
TCGA-E9-A228-01A	0.1952
TCGA-BH-A0E2-01A	0.1949
TCGA-E9-A22B-01A	0.1946
TCGA-B6-A3ZX-01A	0.1939
TCGA-D8-A1Y3-01A	0.1937
TCGA-A1-A0SO-01A	0.1934
TCGA-BH-A18V-06A	0.1931
TCGA-BH-A1FC-01A	0.1929
TCGA-E2-A10C-01A	0.1927
TCGA-A2-A0ST-01A	0.1927
TCGA-LL-A5YO-01A	0.1925
TCGA-AR-A0U4-01A	0.1907
TCGA-C8-A26X-01A	0.1906
TCGA-E9-A226-01A	0.19
TCGA-BH-A208-11A	0.1898
TCGA-AO-A129-01A	0.1892
TCGA-C8-A278-01A	0.1891
TCGA-E2-A108-01A	0.1886
TCGA-OL-A5D7-01A	0.1874
TCGA-A2-A0YC-01A	0.1869
TCGA-A2-A25D-01A	0.1868
TCGA-A2-A25F-01A	0.1868
TCGA-E9-A1RD-01A	0.186
TCGA-E2-A107-01A	0.1848
TCGA-OL-A66P-01A	0.1845
TCGA-EW-A1IZ-01A	0.184
TCGA-BH-A1FU-01A	0.184
TCGA-BH-A0BT-11A	0.1839
TCGA-E9-A1NF-01A	0.1828
TCGA-B6-A2IU-01A	0.1824
TCGA-B6-A0RV-01A	0.1822
TCGA-AR-A24P-01A	0.1821
TCGA-AC-A23C-01A	0.1815
TCGA-AR-A1AR-01A	0.1815
TCGA-AC-A23H-01A	0.1813
TCGA-3C-AALI-01A	0.1808
TCGA-B6-A1KC-01B	0.1802
TCGA-GM-A2DI-01A	0.1794
TCGA-E9-A1R0-01A	0.1791
TCGA-B6-A0X7-01A	0.1787
TCGA-A7-A6VW-01A	0.1787
TCGA-A7-A4SF-01A	0.1787
TCGA-A2-A3Y0-01A	0.1787
TCGA-AC-A7VB-01A	0.1786
TCGA-E9-A22E-01A	0.1779
TCGA-A7-A26F-01A	0.1778
TCGA-D8-A1JP-01A	0.1777
TCGA-AR-A24U-01A	0.1775
TCGA-A2-A0CR-01A	0.1773
TCGA-EW-A1P7-01A	0.1768
TCGA-A2-A0EP-01A	0.1764
TCGA-AC-A6IX-06A	0.1759
TCGA-BH-A1F0-01A	0.1758
TCGA-D8-A1XT-01A	0.1755
TCGA-E2-A1II-01A	0.1754
TCGA-A2-A3XS-01A	0.175
TCGA-E9-A1RD-11A	0.1735
TCGA-C8-A275-01A	0.1733
TCGA-A7-A0D9-11A	0.1732
TCGA-A2-A1G1-01A	0.1729
TCGA-BH-A0B5-01A	0.1728
TCGA-A7-A13E-01A	0.1725
TCGA-BH-A1EO-11A	0.1722
TCGA-E9-A1ND-01A	0.1716
TCGA-AO-A0JM-01A	0.1715
TCGA-BH-A1ET-11B	0.1711
TCGA-AR-A5QQ-01A	0.171
TCGA-LL-A441-01A	0.1707
TCGA-BH-A1FJ-11B	0.1707
TCGA-C8-A3M7-01A	0.1701
TCGA-AC-A3OD-01B	0.1701
TCGA-B6-A408-01A	0.1701
TCGA-E2-A1LS-01A	0.17
TCGA-AC-A2FB-01A	0.17
TCGA-A7-A13G-11A	0.1693
TCGA-AR-A1AW-01A	0.1692
TCGA-E2-A1LL-01A	0.169
TCGA-E2-A573-01A	0.169
TCGA-BH-A1F2-11A	0.1688
TCGA-B6-A0WT-01A	0.1684
TCGA-GM-A2DF-01A	0.1684
TCGA-B6-A0RG-01A	0.1683
TCGA-AR-A252-01A	0.1683
TCGA-E9-A1QZ-01A	0.1678
TCGA-AC-A3W5-01A	0.1677
TCGA-D8-A1J8-01A	0.1677
TCGA-BH-A6R9-01A	0.1677
TCGA-AO-A128-01A	0.1674
TCGA-EW-A3E8-01B	0.1671
TCGA-AR-A1AX-01A	0.167
TCGA-OL-A5RY-01A	0.1666
TCGA-LD-A9QF-01A	0.1666
TCGA-B6-A0RU-01A	0.1665
TCGA-BH-A0C3-01A	0.1662
TCGA-BH-A0C0-01A	0.1661
TCGA-BH-A0B3-01A	0.1661
TCGA-AC-A8OS-01A	0.1657
TCGA-B6-A0X5-01A	0.1655
TCGA-AC-A6IW-01A	0.1654
TCGA-GM-A5PX-01A	0.1652
TCGA-D8-A1JA-01A	0.1648
TCGA-AR-A1AI-01A	0.1647
TCGA-E9-A3QA-01A	0.1645
TCGA-EW-A1PB-01A	0.1645
TCGA-AQ-A1H2-01A	0.1644
TCGA-E9-A248-01A	0.1644
TCGA-D8-A1JL-01A	0.1643
TCGA-A7-A26F-01B	0.1642
TCGA-A7-A0DB-11A	0.1642
TCGA-BH-A0B8-01A	0.164
TCGA-A7-A4SD-01A	0.164
TCGA-E2-A1B5-01A	0.1637
TCGA-C8-A8HR-01A	0.1637
TCGA-C8-A3M8-01A	0.1632
TCGA-D8-A1X5-01A	0.1631
TCGA-EW-A1P1-01A	0.163
TCGA-BH-A5J0-01A	0.1625
TCGA-BH-A1EU-01A	0.1624
TCGA-BH-A0B9-01A	0.1624
TCGA-GM-A2DD-01A	0.1622
TCGA-GM-A2DH-01A	0.1619
TCGA-E9-A5FL-01A	0.1615
TCGA-A2-A3XZ-01A	0.1615
TCGA-OL-A5RV-01A	0.1609
TCGA-GM-A2D9-01A	0.1604
TCGA-LL-A7SZ-01A	0.1604
TCGA-LL-A442-01A	0.1601
TCGA-AR-A5QM-01A	0.16
TCGA-GI-A2C9-01A	0.16
TCGA-AR-A1AJ-01A	0.1596
TCGA-E2-A1LH-01A	0.1595
TCGA-E9-A243-01A	0.1594
TCGA-E9-A22G-01A	0.1594
TCGA-WT-AB41-01A	0.1592
TCGA-PE-A5DE-01A	0.159
TCGA-A2-A0YI-01A	0.1586
TCGA-BH-A1FE-01A	0.1584
TCGA-C8-A1HL-01A	0.1581
TCGA-GM-A2DK-01A	0.1576
TCGA-A2-A3XY-01A	0.1576
TCGA-AC-A23G-01A	0.1575
TCGA-LL-A5YN-01A	0.1574
TCGA-E9-A1NE-01A	0.1572
