LINC00467: mRNA expression (RNA-Seq RPKM)	CopyNumberAlterations
5.5331	Amplification
3.5951	Amplification
24.7844	Amplification
25.58125	Amplification
5.14705	Amplification
11.18088	Amplification
36.51582	Amplification
7.47623	Amplification
9.17461	DeepDeletion
5.62119	DeepDeletion
3.06014	Diploid
4.22437	Diploid
2.32634	Diploid
3.24486	Diploid
8.01617	Diploid
14.43687	Diploid
6.67367	Diploid
5.48759	Diploid
2.26989	Diploid
3.41475	Diploid
3.93515	Diploid
2.71015	Diploid
9.46864	Diploid
3.79006	Diploid
5.03025	Diploid
13.43118	Diploid
9.3907	Diploid
2.26698	Diploid
2.96327	Diploid
4.89239	Diploid
7.11243	Diploid
3.46848	Diploid
3.99848	Diploid
7.38448	Diploid
5.30168	Diploid
12.3552	Diploid
1.84145	Diploid
1.58375	Diploid
8.03984	Diploid
8.29003	Diploid
13.72743	Diploid
7.87734	Diploid
12.70813	Diploid
5.21233	Diploid
8.28138	Diploid
12.67664	Diploid
5.38228	Diploid
2.68	Diploid
17.40188	Diploid
5.94262	Diploid
4.48902	Diploid
